Station,Site_Name,Agency_Name,Lat,Lon,SRadius,MERRALat,MERRALon,IDXi,IDXj,PS,QV10m,Q500,Q850,T10m,T500,T850,WIND,BCSMASS,DUSMASS25,OCSMASS,SO2SMASS,SO4SMASS,SSSMASS25,NISMASS25,TOTEXTTAU,UTC_DATE,UTC_TIME
65,Gaziantep,,37.065953,37.37811,13.1,37.0,37.5,509,697,93423.66,5.90211,0.08339,0.0042058164,281.791,253.18,273.791,2.381,0.42187,0.7813,1.69694,9.87867,2.74157,2.8906,0.37684,0.111,20250410,0130
66,Geneva,,46.2043907,6.1431577,9.7,46.25,6.25,546,597,94635.42,5.23278,0.12302,0.003236449,281.669,252.371,273.669,6.75,0.76792,2.01569,2.1002,2.65134,1.51931,0.39106,1.69075,0.098,20250410,0130
67,Georgetown,,6.8012793,-58.1551255,6.6,6.75,-58.125,388,391,101395.34,18.58543,3.59587,0.012640927,300.781,268.563,292.781,7.033,0.27433,17.79365,2.12639,0.12324,0.61598,13.20519,0.00023,0.344,20250410,0130
68,Guadalajara,,20.6596988,-103.3496092,13.6,20.75,-103.438,444,246,83065.22,2.90421,0.10532,--,299.418,264.804,291.418,0.899,0.1683,2.26741,1.94114,0.66322,0.78155,0.27449,0.00015,0.081,20250410,0130
156GZ1010001,Guangzhou,U.S. Department of State China - Guangzhou,23.116785,113.318088,19.6,23.25,113.125,453,940,100398.555,14.23273,1.59146,0.012118619,298.266,263.742,290.266,2.312,2.39827,2.64961,8.38193,53.62986,7.48869,1.15656,0.75749,1.001,20250410,0130
320GT1010001,Guatemala_City,U.S. Department of State Guatemala - Guatemala City,14.989397,-90.522408,18.0,14.75,-90.625,421,287,86249.75,10.79682,0.32727,0.010653013,287.633,269.914,279.633,1.306,0.33021,1.26474,2.22908,0.08194,1.32736,2.28802,0.18449,0.139,20250410,0130
69,Guayaquil,,-2.1894128,-79.8890662,14.0,-2.25,-80.0,352,321,101114.52,19.19875,5.49559,0.01487156,298.45,269.213,290.45,1.695,0.55152,5.68361,4.20799,16.19668,7.21338,8.07821,0.03249,0.564,20250410,0130
30113,Halifax,,44.647175,-63.573689,15.7,44.75,-63.438,540,374,101138.8,2.93405,0.03897,0.0019014981,271.272,244.553,263.272,2.019,0.18283,0.786,0.98943,4.39357,1.47112,0.13165,0.01168,0.104,20250410,0130
71,Hamburg,,53.5510846,9.9936819,5.7,53.5,10.0,575,609,101980.86,4.91057,0.76852,0.0032570665,277.571,254.481,269.571,2.232,0.28286,2.39956,0.95754,2.27443,3.61558,2.94336,0.97171,0.171,20250410,0130
72,Hamilton,,32.2945837,-64.7858887,10.5,32.25,-64.688,490,370,102126.414,14.10051,0.65619,0.008993365,294.026,260.095,286.026,3.029,0.15092,3.83796,1.03165,0.29645,3.6595,6.94496,0.00156,0.245,20250410,0130
HN1010001,Hanoi,U.S. Department of State Vietnam - Hanoi,21.021939,105.818806,11.2,21.0,105.938,445,916,100609.2,15.81847,3.75027,0.00991098,295.824,266.446,287.824,1.794,2.93569,3.14144,19.76376,7.82893,9.68256,1.16497,1.01247,0.973,20250410,0130
73,Harare,,-17.8216288,31.0492259,14.3,-17.75,30.938,290,676,87276.25,14.03805,0.9439,0.012720015,294.189,269.735,286.189,1.254,0.8944,0.63752,4.49224,0.98104,1.96891,0.45308,0.00128,0.099,20250410,0130
74,Havana,,23.1135925,-82.3665956,18.6,23.0,-82.5,453,313,101805.38,11.87116,0.01986,0.0032659892,296.648,263.564,288.648,7.17,0.22554,1.98736,1.40907,1.76573,3.07433,2.19834,0.01251,0.151,20250410,0130
75,Helsinki,,60.1698557,24.9383791,9.5,60.25,25.0,602,657,100396.97,1.73103,0.02817,0.00081553485,269.012,241.48,261.012,4.605,0.0851,0.98067,0.37209,0.19934,0.36053,0.70522,0.08555,0.073,20250410,0130
76,Hermosillo,,29.0729673,-110.9559192,8.3,29.0,-110.938,477,222,96944.59,1.54105,0.11394,0.0013353575,306.508,262.867,298.508,4.421,0.09873,2.41922,0.82701,0.627,0.37134,0.19312,6e-05,0.079,20250410,0130
